from,to,"from (manual)","to (manual)",Timezone,"Activity type",Data,GPS,Modified
2020-05-10T08:54:00-04:00,2020-05-10T11:12:00-04:00,,,America/New_York,Walking,"{""calories"":390.5407409668,""effduration"":8280,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":12591,""distance"":9793.205078125,""metcumul"":431.79629516602}",,2020-05-21T13:10:56-04:00
2020-05-21T21:31:24-04:00,2020-05-21T22:16:10-04:00,,,America/New_York,Yoga,"{""calories"":321.34295654297,""effduration"":1080,""intensity"":49,""manual_distance"":0,""manual_calories"":565.32562255859,""hr_average"":95,""hr_min"":54,""hr_max"":134,""hr_zone_0"":1425,""hr_zone_1"":1213,""hr_zone_2"":0,""hr_zone_3"":0,""device_startdate"":1590111084,""device_enddate"":1590113770,""pause_duration"":5,""steps"":184,""distance"":156.00399780273,""metcumul"":23.482002258301}",,2021-05-04T20:15:14-04:00
2020-05-21T21:31:24-04:00,2020-05-21T22:16:10-04:00,,,America/New_York,Other,{},,2020-05-21T22:26:46-04:00
2020-05-22T16:35:31-04:00,2020-05-22T17:41:57-04:00,,,America/New_York,Other,"{""calories"":85.029991149902,""effduration"":3300,""intensity"":50,""manual_distance"":0,""manual_calories"":441.98950195312,""hr_average"":132,""hr_min"":74,""hr_max"":164,""hr_zone_0"":282,""hr_zone_1"":1325,""hr_zone_2"":1947,""hr_zone_3"":0,""device_startdate"":1590179731,""device_enddate"":1590183717,""pause_duration"":4,""steps"":2504,""distance"":2150.7104492188,""metcumul"":134.89999389648}",,2020-05-22T17:59:49-04:00
2020-05-22T16:35:31-04:00,2020-05-22T17:41:57-04:00,,,America/New_York,Other,{},,2020-05-22T17:45:08-04:00
2020-05-22T18:38:00-04:00,2020-05-22T18:51:00-04:00,,,America/New_York,Walking,"{""calories"":21.569999694824,""effduration"":660,""intensity"":0,""manual_distance"":-1,""manual_calories"":80.355682373047,""pause_duration"":0,""steps"":694,""distance"":545.40002441406,""metcumul"":33.549999237061}",,2020-05-22T19:31:32-04:00
2020-05-22T19:15:00-04:00,2020-05-22T19:23:00-04:00,,,America/New_York,Walking,"{""calories"":20.129999160767,""effduration"":480,""intensity"":0,""manual_distance"":-1,""manual_calories"":49.449653625488,""pause_duration"":0,""steps"":649,""distance"":508.70999145508,""metcumul"":29.049999237061}",,2020-05-23T10:22:38-04:00
2020-05-24T09:05:00-04:00,2020-05-24T09:28:00-04:00,,,America/New_York,Walking,"{""calories"":66.599998474121,""effduration"":1380,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":2186,""distance"":1683.3200683594,""metcumul"":93.940002441406}",,2020-05-24T12:38:52-04:00
2020-05-24T09:37:00-04:00,2020-05-24T11:05:00-04:00,,,America/New_York,Walking,"{""calories"":253.13900756836,""effduration"":5280,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":8421,""distance"":6400.11328125,""metcumul"":360.03201293945}",,2020-05-24T23:35:16-04:00
2020-05-24T15:11:04-04:00,2020-05-24T15:44:40-04:00,,,America/New_York,Other,{},,2020-05-24T17:51:45-04:00
2020-05-24T15:11:04-04:00,2020-05-24T15:44:40-04:00,,,America/New_York,Yoga,"{""calories"":1.4580000638962,""effduration"":840,""intensity"":50,""manual_distance"":0,""manual_calories"":424.30993652344,""hr_average"":115,""hr_min"":54,""hr_max"":146,""hr_zone_0"":321,""hr_zone_1"":1408,""hr_zone_2"":175,""hr_zone_3"":0,""device_startdate"":1590347464,""device_enddate"":1590349480,""pause_duration"":3,""steps"":44,""distance"":37.656997680664,""metcumul"":15.235000610352}",,2020-05-24T23:35:16-04:00
2020-05-24T20:00:00-04:00,2020-05-24T20:26:00-04:00,,,America/New_York,Walking,"{""calories"":77.689994812012,""effduration"":1560,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":2564,""distance"":1964.2900390625,""metcumul"":109.18000030518}",,2020-05-25T10:48:26-04:00
2020-05-27T18:44:44-04:00,2020-05-27T19:28:51-04:00,,,America/New_York,Yoga,"{""calories"":1.7470000982285,""effduration"":780,""intensity"":48,""manual_distance"":0,""manual_calories"":557.11724853516,""hr_average"":115,""hr_min"":47,""hr_max"":147,""hr_zone_0"":433,""hr_zone_1"":1368,""hr_zone_2"":242,""hr_zone_3"":0,""device_startdate"":1590619484,""device_enddate"":1590622131,""pause_duration"":3,""steps"":54,""distance"":44.726001739502,""metcumul"":14.473999023438}",,2020-05-28T15:51:10-04:00
2020-05-27T18:44:44-04:00,2020-05-27T19:28:51-04:00,,,America/New_York,Other,{},,2020-05-28T09:51:43-04:00
2020-05-28T08:38:00-04:00,2020-05-28T09:11:00-04:00,,,America/New_York,Walking,"{""calories"":108.13500976562,""effduration"":1980,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":3466,""distance"":2730.5461425781,""metcumul"":142.64799499512}",,2020-05-29T12:33:20-04:00
2020-05-29T17:21:00-04:00,2020-05-29T17:34:00-04:00,,,America/New_York,Walking,"{""calories"":33.530002593994,""effduration"":720,""intensity"":0,""manual_distance"":-1,""manual_calories"":80.355682373047,""pause_duration"":0,""steps"":1085,""distance"":848.03002929688,""metcumul"":47.229995727539}",,2020-05-30T10:12:24-04:00
2020-05-29T17:46:39-04:00,2020-05-29T18:33:14-04:00,,,America/New_York,Other,"{""calories"":588.26696777344,""effduration"":1080,""intensity"":50,""manual_distance"":0,""manual_calories"":588.26696777344,""hr_average"":108,""hr_min"":54,""hr_max"":143,""hr_zone_0"":749,""hr_zone_1"":1915,""hr_zone_2"":80,""hr_zone_3"":0,""device_startdate"":1590788799,""device_enddate"":1590791594,""pause_duration"":3,""steps"":113,""distance"":94.337005615234,""metcumul"":21.296003341675}",,2021-06-02T16:32:59-04:00
2020-05-29T17:46:39-04:00,2020-05-29T18:33:14-04:00,,,America/New_York,Other,{},,2020-05-30T10:16:34-04:00
2020-05-31T09:11:00-04:00,2020-05-31T12:02:00-04:00,,,America/New_York,Walking,"{""calories"":461.66998291016,""effduration"":10200,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":15145,""distance"":11670.05078125,""metcumul"":658.18994140625}",,2020-06-01T08:09:29-04:00
2020-06-01T17:13:16-04:00,2020-06-01T17:55:18-04:00,,,America/New_York,"Gym class","{""calories"":265.40417480469,""effduration"":1440,""intensity"":50,""manual_distance"":0,""manual_calories"":530.80834960938,""hr_average"":109,""hr_min"":73,""hr_max"":165,""hr_zone_0"":1069,""hr_zone_1"":1009,""hr_zone_2"":397,""hr_zone_3"":0,""device_startdate"":1591045996,""device_enddate"":1591048518,""pause_duration"":3,""steps"":550,""distance"":456.15097045898,""metcumul"":41.319004058838}",,2021-05-03T21:34:44-04:00
2020-06-01T17:13:16-04:00,2020-06-01T17:55:18-04:00,,,America/New_York,Other,{},,2020-06-01T18:34:48-04:00
2020-06-02T11:45:00-04:00,2020-06-02T12:34:00-04:00,,,America/New_York,Walking,"{""calories"":122.70999908447,""effduration"":2520,""intensity"":0,""manual_distance"":-1,""manual_calories"":302.87911987305,""pause_duration"":0,""steps"":3928,""distance"":3100.650390625,""metcumul"":170.52998352051}",,2020-06-03T08:00:34-04:00
2020-06-02T21:16:45-04:00,2020-06-02T22:12:20-04:00,,,America/New_York,Yoga,"{""calories"":5.0929999351501,""effduration"":1200,""intensity"":50,""manual_distance"":0,""manual_calories"":701.92144775391,""hr_average"":83,""hr_min"":36,""hr_max"":129,""hr_zone_0"":1779,""hr_zone_1"":1372,""hr_zone_2"":0,""hr_zone_3"":0,""device_startdate"":1591147005,""device_enddate"":1591150340,""pause_duration"":3,""steps"":157,""distance"":130.19300842285,""metcumul"":24.485000610352}",,2020-06-04T08:31:02-04:00
2020-06-02T21:16:45-04:00,2020-06-02T22:12:20-04:00,,,America/New_York,Other,{},,2020-06-03T08:00:35-04:00
2020-06-03T06:59:00-04:00,2020-06-03T07:17:00-04:00,,,America/New_York,Walking,"{""calories"":60.000301361084,""effduration"":1080,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":1900,""distance"":1511.2799072266,""metcumul"":72.593902587891}",,2020-06-03T08:00:36-04:00
2020-06-03T07:36:00-04:00,2020-06-03T07:57:00-04:00,,,America/New_York,Walking,"{""calories"":58.215000152588,""effduration"":1260,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":1908,""distance"":1470.8519287109,""metcumul"":82.85799407959}",,2020-06-04T08:31:03-04:00
