date,value
2022-04-17,36.511
2022-04-16,118.445
2022-04-15,106.592
2022-04-14,208.608
2022-04-13,102.255
2022-04-12,112.184
2022-04-11,179.488
2022-04-10,139.22
2022-04-09,153.567
2022-04-08,117.401
2022-04-07,123.227
2022-04-06,221.996
2022-04-05,104.717
2022-04-04,201.255
2022-04-03,94.441
2022-04-02,297.546
2022-04-01,160.538
2022-03-31,93.598
2022-03-30,310.348
2022-03-29,104.867
2022-03-28,87.312
2022-03-27,107.657
2022-03-26,143.979
2022-03-25,313.61
2022-03-24,222.027
2022-03-23,71.114
2022-03-22,72.666
2022-03-21,94.111
2022-03-20,225.876
2022-03-19,228.768
2022-03-18,230.788
2022-03-17,56.475
2022-03-16,72.235
2022-03-15,88.117
2022-03-14,227.728
2022-03-13,324.999
2022-03-12,276.54
2022-03-11,271.115
2022-03-10,246.089
2022-03-09,132.907
2022-03-08,85.358
2022-03-07,76.361
2022-03-06,93.953
2022-03-05,97.416
2022-03-04,195.859
2022-03-03,143.747
2022-03-02,135.634
2022-03-01,77.386
2022-02-28,214.966
2022-02-27,94.151
2022-02-26,139.175
2022-02-25,503.936
2022-02-24,155.818
2022-02-23,293.677
2022-02-22,89.619
2022-02-21,61.325
2022-02-20,301.625
2022-02-19,321.19
2022-02-18,193.473
2022-02-17,88.367
2022-02-16,41.281
2022-02-15,275.781
2022-02-14,115.038
2022-02-13,247.747
2022-02-12,152.053
2022-02-11,102.866
2022-02-10,66.245
2022-02-09,175.092
2022-02-08,110.018
2022-02-07,111.073
2022-02-06,328.457
2022-02-05,207.636
2022-02-04,142.043
2022-02-03,101.117
2022-02-02,78.263
2022-02-01,140.573
2022-01-31,193.893
2022-01-30,140.999
2022-01-29,180.016
2022-01-28,166.587
2022-01-27,72.981
2022-01-26,233.51
2022-01-25,74.98
2022-01-24,202.369
2022-01-23,162.473
2022-01-22,4.417
2022-01-21,141.966
2022-01-20,15.333
2022-01-19,46.424
2022-01-18,154.962
2022-01-17,73.044
2022-01-16,108.77
2022-01-15,321.434
2022-01-14,141.302
2022-01-13,218.131
2022-01-12,91.07
2022-01-11,403.805
2022-01-10,107.891
2022-01-09,93.649
2022-01-08,179.681
2022-01-07,110.407
2022-01-06,126.578
2022-01-05,140.94
2022-01-04,102.135
2022-01-03,93.384
2022-01-02,139.273
2022-01-01,90.398
2021-12-31,175.784
2021-12-30,119.475
2021-12-29,202.48
2021-12-28,110.071
2021-12-27,154.172
2021-12-26,100.101
2021-12-25,211.928
2021-12-24,414.31
2021-12-23,234.933
2021-12-22,152.169
2021-12-21,97.992
2021-12-20,105.464
2021-12-19,78.633
2021-12-18,114.302
2021-12-17,266.567
2021-12-16,174.961
2021-12-15,113.564
2021-12-14,105.367
2021-12-13,108.623
2021-12-12,109.38
2021-12-11,135.868
2021-12-10,116.646
2021-12-09,186.796
2021-12-08,37.72
2021-12-07,95.848
2021-12-06,79.611
2021-12-05,228.589
2021-12-04,174.676
2021-12-03,96.411
2021-12-02,96.273
2021-12-01,100.704
2021-11-30,72.307
2021-11-29,199.112
2021-11-28,216.592
2021-11-27,124.141
2021-11-26,132.781
2021-11-25,157.485
2021-11-24,103.039
2021-11-23,110.012
2021-11-22,140.457
2021-11-21,275.109
2021-11-20,156.819
2021-11-19,204.653
2021-11-18,133.302
2021-11-17,138.981
2021-11-16,139.23
2021-11-15,95.956
2021-11-14,115.561
2021-11-13,261.123
2021-11-12,214.192
2021-11-11,45.13
2021-11-10,119.713
2021-11-09,98.985
2021-11-08,88.395
2021-11-07,75.94
2021-11-06,132.466
2021-11-05,293.378
2021-11-04,112.365
2021-11-03,96.524
2021-11-02,107.863
2021-11-01,106.962
2021-10-31,135.256
2021-10-30,171.762
2021-10-29,77.681
2021-10-28,137.413
2021-10-27,101.357
2021-10-26,180.822
2021-10-25,144.508
2021-10-24,218.004
2021-10-23,207.978
2021-10-22,283.548
2021-10-21,292.665
2021-10-20,393.701
2021-10-19,89.413
2021-10-18,93.315
2021-10-17,280.171
2021-10-16,218.631
2021-10-15,134.808
2021-10-14,315.76
2021-10-13,124.175
2021-10-12,108.933
2021-10-11,111.595
2021-10-10,458.194
2021-10-09,173.228
2021-10-08,102.14
2021-10-07,290.008
2021-10-06,116.556
2021-10-05,110.509
2021-10-04,78.699
2021-10-03,348.808
2021-10-02,197.987
2021-10-01,87.583
2021-09-30,50.153
2021-09-29,268.066
2021-09-28,175.102
2021-09-27,80.756
2021-09-26,150.72
2021-09-25,249.202
2021-09-24,147.304
2021-09-23,77.057
2021-09-22,67.265
2021-09-21,157.589
2021-09-20,103.684
2021-09-19,180.717
2021-09-18,121.392
2021-09-17,84.65
2021-09-16,90.26
2021-09-15,103.499
2021-09-14,223.374
2021-09-13,104.101
2021-09-12,119.968
2021-09-11,193.383
2021-09-10,89.642
2021-09-09,67.882
2021-09-08,94.709
2021-09-07,122.54
2021-09-06,192.353
2021-09-05,148.076
2021-09-04,168.539
2021-09-03,115.313
2021-09-02,62.767
2021-09-01,335.453
2021-08-31,55.78
2021-08-30,78.979
2021-08-29,55.029
2021-08-28,83.355
2021-08-27,71.507
2021-08-26,73.516
2021-08-25,99.056
2021-08-24,80.009
2021-08-23,55.349
2021-08-22,156.653
2021-08-21,213.578
2021-08-20,104.737
2021-08-19,62.535
2021-08-18,93.2
2021-08-17,101.635
2021-08-16,92.4
2021-08-15,132.897
2021-08-14,291.355
2021-08-13,125.848
2021-08-12,184.762
2021-08-11,309.575
2021-08-10,301.754
2021-08-09,345.412
2021-08-08,307.162
2021-08-07,198.825
2021-08-06,150.407
