date,value
2022-04-17,1154.404
2022-04-16,1869.678
2022-04-15,1869.678
2022-04-14,1869.678
2022-04-13,1869.678
2022-04-12,1869.678
2022-04-11,1869.678
2022-04-10,1869.678
2022-04-09,1869.678
2022-04-08,1869.678
2022-04-07,1869.678
2022-04-06,1869.678
2022-04-05,1869.678
2022-04-04,1869.678
2022-04-03,1869.678
2022-04-02,1869.678
2022-04-01,1869.678
2022-03-31,1869.678
2022-03-30,1869.678
2022-03-29,1869.678
2022-03-28,1869.678
2022-03-27,1869.678
2022-03-26,1869.678
2022-03-25,1869.678
2022-03-24,1869.678
2022-03-23,1869.678
2022-03-22,1869.678
2022-03-21,1869.678
2022-03-20,1869.678
2022-03-19,1869.678
2022-03-18,1869.678
2022-03-17,1869.678
2022-03-16,1869.678
2022-03-15,1869.678
2022-03-14,1869.678
2022-03-13,1791.774
2022-03-12,1869.678
2022-03-11,1869.678
2022-03-10,1869.678
2022-03-09,1869.678
2022-03-08,1645.141
2022-03-07,1869.678
2022-03-06,1869.678
2022-03-05,1869.678
2022-03-04,1869.678
2022-03-03,1869.678
2022-03-02,1869.678
2022-03-01,1869.678
2022-02-28,1869.678
2022-02-27,1869.678
2022-02-26,1869.678
2022-02-25,1869.678
2022-02-24,1862.136
2022-02-23,1869.678
2022-02-22,1849.48
2022-02-21,1869.678
2022-02-20,1869.678
2022-02-19,1869.678
2022-02-18,1869.678
2022-02-17,1869.678
2022-02-16,1869.678
2022-02-15,1800.441
2022-02-14,1851.365
2022-02-13,1869.678
2022-02-12,1869.678
2022-02-11,1869.678
2022-02-10,1869.678
2022-02-09,1869.678
2022-02-08,1869.678
2022-02-07,1869.678
2022-02-06,1869.678
2022-02-05,1869.678
2022-02-04,1869.678
2022-02-03,1869.678
2022-02-02,1869.678
2022-02-01,1869.678
2022-01-31,2025.487
2022-01-30,1869.678
2022-01-29,1869.678
2022-01-28,1869.678
2022-01-27,1856.95
2022-01-26,1869.678
2022-01-25,1869.678
2022-01-24,1869.678
2022-01-23,1869.678
2022-01-22,1869.678
2022-01-21,1869.678
2022-01-20,1756.204
2022-01-19,1713.87
2022-01-18,1869.678
2022-01-17,1869.678
2022-01-16,1869.678
2022-01-15,1869.678
2022-01-14,1869.678
2022-01-13,1869.678
2022-01-12,1869.678
2022-01-11,1865.357
2022-01-10,1869.678
2022-01-09,1784.187
2022-01-08,1869.678
2022-01-07,1869.678
2022-01-06,1803.611
2022-01-05,1869.678
2022-01-04,1869.678
2022-01-03,1869.678
2022-01-02,1869.678
2022-01-01,1869.678
2021-12-31,1869.678
2021-12-30,1869.678
2021-12-29,1869.678
2021-12-28,1869.678
2021-12-27,1869.678
2021-12-26,1869.678
2021-12-25,1859.311
2021-12-24,1840.639
2021-12-23,1869.678
2021-12-22,1869.678
2021-12-21,1869.678
2021-12-20,1869.678
2021-12-19,1869.678
2021-12-18,1869.678
2021-12-17,1869.678
2021-12-16,1869.678
2021-12-15,1811.345
2021-12-14,1869.678
2021-12-13,1869.678
2021-12-12,1869.678
2021-12-11,1869.678
2021-12-10,1869.678
2021-12-09,1869.678
2021-12-08,1817.733
2021-12-07,1869.678
2021-12-06,1869.678
2021-12-05,1869.678
2021-12-04,1869.678
2021-12-03,1869.678
2021-12-02,1869.678
2021-12-01,1869.678
2021-11-30,1777.558
2021-11-29,1869.678
2021-11-28,1869.678
2021-11-27,1869.678
2021-11-26,1869.678
2021-11-25,1869.678
2021-11-24,1869.678
2021-11-23,1744.405
2021-11-22,1869.678
2021-11-21,1869.678
2021-11-20,1869.678
2021-11-19,1869.678
2021-11-18,1869.678
2021-11-17,1869.678
2021-11-16,1869.678
2021-11-15,1869.678
2021-11-14,1869.678
2021-11-13,1869.678
2021-11-12,1869.678
2021-11-11,1869.678
2021-11-10,1869.678
2021-11-09,1869.678
2021-11-08,1756.833
2021-11-07,1947.583
2021-11-06,1869.678
2021-11-05,1869.678
2021-11-04,1869.678
2021-11-03,1869.678
2021-11-02,1869.678
2021-11-01,1869.678
2021-10-31,1869.678
2021-10-30,1869.678
2021-10-29,1869.678
2021-10-28,1812.817
2021-10-27,1869.678
2021-10-26,1869.678
2021-10-25,1869.678
2021-10-24,1869.678
2021-10-23,1869.678
2021-10-22,1869.678
2021-10-21,1869.678
2021-10-20,1869.678
2021-10-19,1874.678
2021-10-18,1874.678
2021-10-17,1874.678
2021-10-16,1874.678
2021-10-15,1874.678
2021-10-14,1874.678
2021-10-13,1874.678
2021-10-12,1874.678
2021-10-11,1874.678
2021-10-10,1874.678
2021-10-09,1874.678
2021-10-08,1874.678
2021-10-07,1874.678
2021-10-06,1874.678
2021-10-05,1874.678
2021-10-04,1874.678
2021-10-03,1775.862
2021-10-02,1874.678
2021-10-01,1874.678
2021-09-30,1874.678
2021-09-29,1881.028
2021-09-28,1881.028
2021-09-27,1771.07
2021-09-26,1820.068
2021-09-25,1881.028
2021-09-24,1881.028
2021-09-23,1881.028
2021-09-22,1881.028
2021-09-21,1881.028
2021-09-20,1881.028
2021-09-19,1881.028
2021-09-18,1881.028
2021-09-17,1881.028
2021-09-16,1881.028
2021-09-15,1881.028
2021-09-14,1729.571
2021-09-13,1881.028
2021-09-12,1881.028
2021-09-11,1881.028
2021-09-10,1881.028
2021-09-09,1881.028
2021-09-08,1881.028
2021-09-07,1881.028
2021-09-06,1881.028
2021-09-05,1881.028
2021-09-04,1881.028
2021-09-03,1881.028
2021-09-02,1881.028
2021-09-01,1881.028
2021-08-31,1881.028
2021-08-30,1881.028
2021-08-29,1881.028
2021-08-28,1881.028
2021-08-27,1881.028
2021-08-26,1881.028
2021-08-25,1881.028
2021-08-24,1881.028
2021-08-23,1881.028
2021-08-22,1881.028
2021-08-21,1881.028
2021-08-20,1881.028
2021-08-19,1881.028
2021-08-18,1881.028
2021-08-17,1881.028
2021-08-16,1820.375
2021-08-15,1410.766
2021-08-14,1881.028
2021-08-13,1881.028
2021-08-12,1881.028
2021-08-11,1881.028
2021-08-10,1881.028
2021-08-09,1881.028
2021-08-08,1881.028
2021-08-07,2351.291
2021-08-06,1883.758
2021-08-05,1883.758
2021-08-04,1883.758
2021-08-03,1883.758
2021-08-02,1883.758
2021-08-01,1883.758
2021-07-31,1883.758
2021-07-30,1883.758
2021-07-29,1883.758
2021-07-28,1852.125
2021-07-27,1883.758
2021-07-26,1883.758
2021-07-25,1883.758
2021-07-24,1883.758
2021-07-23,1883.758
2021-07-22,1883.758
2021-07-21,1883.758
2021-07-20,1890.108
2021-07-19,1890.108
2021-07-18,1697.435
2021-07-17,1890.108
2021-07-16,1826.793
2021-07-15,1890.108
2021-07-14,1890.108
2021-07-13,1887.441
2021-07-12,1806.274
2021-07-11,1723.138
2021-07-10,1890.108
2021-07-09,1890.108
2021-07-08,1890.108
2021-07-07,1890.108
2021-07-06,1890.108
2021-07-05,1890.108
2021-07-04,1890.108
2021-07-03,1890.108
2021-07-02,1890.108
2021-07-01,1890.108
2021-06-30,1890.108
2021-06-29,1890.108
2021-06-28,1890.108
2021-06-27,1890.108
2021-06-26,1890.108
2021-06-25,1890.108
2021-06-24,1890.108
2021-06-23,1890.108
2021-06-22,1890.108
2021-06-21,1890.108
2021-06-20,1890.108
2021-06-19,1890.108
2021-06-18,1890.108
2021-06-17,1841.31
2021-06-16,1890.108
2021-06-15,1890.108
2021-06-14,1890.108
2021-06-13,1890.108
2021-06-12,1776.365
2021-06-11,1890.108
2021-06-10,1890.108
2021-06-09,1826.597
2021-06-08,1890.108
2021-06-07,1890.108
2021-06-06,1890.108
2021-06-05,1890.108
2021-06-04,1890.108
2021-06-03,1890.108
2021-06-02,1806.214
2021-06-01,1781.851
2021-05-31,1885.719
2021-05-30,1890.108
2021-05-29,1890.108
2021-05-28,1890.108
2021-05-27,1890.108
2021-05-26,1890.108
2021-05-25,1890.108
2021-05-24,1890.108
2021-05-23,1890.108
2021-05-22,1890.108
2021-05-21,1890.108
2021-05-20,1890.108
2021-05-19,1890.108
2021-05-18,1881.376
2021-05-17,1890.108
2021-05-16,1890.108
2021-05-15,1890.108
2021-05-14,1869.13
2021-05-13,1890.108
2021-05-12,1890.108
2021-05-11,1890.108
2021-05-10,1890.108
2021-05-09,1882.98
2021-05-08,1890.108
2021-05-07,1890.108
2021-05-06,1823.289
2021-05-05,1890.108
2021-05-04,1890.108
2021-05-03,1890.108
2021-05-02,1890.108
2021-05-01,1890.108
2021-04-30,1857.36
2021-04-29,1890.108
2021-04-28,1890.108
2021-04-27,1890.108
2021-04-26,1890.108
2021-04-25,1890.108
2021-04-24,1890.108
2021-04-23,1890.108
2021-04-22,1734.275
2021-04-21,1890.108
2021-04-20,1890.108
2021-04-19,1890.108
2021-04-18,1890.108
2021-04-17,1841.856
2021-04-16,1890.108
2021-04-15,695.964
2021-04-14,1890.108
2021-04-13,1890.108
2021-04-12,1793.772
2021-04-11,1890.108
2021-04-10,1884.893
2021-04-09,1890.108
2021-04-08,1890.108
2021-04-07,1890.108
2021-04-06,1890.108
2021-04-05,1890.108
2021-04-04,1890.108
2021-04-03,1890.108
2021-04-02,1890.108
2021-04-01,1890.108
2021-03-31,1890.108
2021-03-30,1890.108
2021-03-29,1890.108
2021-03-28,1894.638
2021-03-27,1894.638
2021-03-26,1894.638
2021-03-25,1900.088
2021-03-24,1900.088
2021-03-23,1900.088
2021-03-22,1900.088
2021-03-21,1900.088
2021-03-20,1900.088
2021-03-19,1900.088
2021-03-18,1900.088
2021-03-17,1884.037
2021-03-16,1900.088
2021-03-15,1900.088
2021-03-14,1583.403
2021-03-13,1900.088
2021-03-12,1900.088
2021-03-11,1900.088
2021-03-10,2137.602
2021-03-09,1900.088
2021-03-08,1776.675
2021-03-07,1850.367
2021-03-06,1900.088
2021-03-05,1900.088
2021-03-04,1900.088
2021-03-03,1900.088
2021-03-02,1900.088
2021-03-01,1900.088
2021-02-28,1900.088
2021-02-27,1900.088
2021-02-26,1881.665
2021-02-25,1900.088
2021-02-24,1900.088
2021-02-23,1900.088
2021-02-22,1900.088
2021-02-21,1900.088
2021-02-20,1900.088
2021-02-19,1900.088
2021-02-18,1900.088
2021-02-17,1900.088
2021-02-16,1900.088
2021-02-15,1900.088
2021-02-14,1900.088
2021-02-13,1900.088
2021-02-12,1900.088
2021-02-11,1900.088
2021-02-10,1900.088
2021-02-09,1797.955
2021-02-08,1900.088
2021-02-07,1788.747
2021-02-06,1900.088
2021-02-05,1900.088
2021-02-04,1900.088
2021-02-03,1899.475
2021-02-02,1765.013
2021-02-01,1884.658
2021-01-31,1884.658
2021-01-30,1884.658
2021-01-29,1884.658
2021-01-28,1884.658
2021-01-27,1884.658
2021-01-26,1884.658
2021-01-25,1884.658
2021-01-24,1884.658
2021-01-23,1884.658
2021-01-22,1900.088
2021-01-21,1884.658
2021-01-20,1884.658
2021-01-19,1884.658
2021-01-18,1884.658
2021-01-17,1704.37
2021-01-16,1884.658
2021-01-15,1884.658
2021-01-14,1884.658
2021-01-13,1884.658
2021-01-12,1859.175
2021-01-11,1771.276
2021-01-10,1884.658
2021-01-09,1884.658
2021-01-08,1884.658
2021-01-07,1884.658
2021-01-06,1884.658
2021-01-05,1884.658
2021-01-04,1884.658
2021-01-03,1884.658
2021-01-02,1884.658
2021-01-01,1884.658
2020-12-31,1884.658
2020-12-30,1884.658
2020-12-29,1884.658
2020-12-28,1884.658
2020-12-27,1875.658
2020-12-26,1884.658
2020-12-25,1884.658
2020-12-24,1884.658
2020-12-23,1884.658
2020-12-22,1884.658
2020-12-21,1884.658
2020-12-20,1884.658
2020-12-19,1884.658
2020-12-18,1884.658
2020-12-17,1884.658
2020-12-16,1884.658
2020-12-15,1712.052
2020-12-14,1884.658
2020-12-13,1884.658
2020-12-12,1884.658
2020-12-11,1884.658
2020-12-10,1884.658
2020-12-09,1884.658
2020-12-08,1788.465
