date,value
2022-04-17,943.31
2022-04-16,3041.468
2022-04-15,2579.809
2022-04-14,5363.195
2022-04-13,2611.168
2022-04-12,2773.922
2022-04-11,4543.256
2022-04-10,3565.152
2022-04-09,3895.725
2022-04-08,3026.547
2022-04-07,3163.078
2022-04-06,5709.06
2022-04-05,2696.879
2022-04-04,5156.674
2022-04-03,2435.001
2022-04-02,7639.645
2022-04-01,3968.675
2022-03-31,2415.529
2022-03-30,7917.427
2022-03-29,2707.634
2022-03-28,2216.28
2022-03-27,2723.023
2022-03-26,3697.28
2022-03-25,8059.308
2022-03-24,5668.396
2022-03-23,1805.532
2022-03-22,1840.525
2022-03-21,2298.892
2022-03-20,5697.934
2022-03-19,5813.878
2022-03-18,5935.058
2022-03-17,1450.863
2022-03-16,1865.849
2022-03-15,2271.374
2022-03-14,5853.404
2022-03-13,8338.853
2022-03-12,7068.963
2022-03-11,6936.917
2022-03-10,6319.908
2022-03-09,3294.356
2022-03-08,2195.468
2022-03-07,1935.653
2022-03-06,2275.814
2022-03-05,2461.604
2022-03-04,5032.598
2022-03-03,3702.817
2022-03-02,3495.127
2022-03-01,1983.053
2022-02-28,5527.885
2022-02-27,2289.033
2022-02-26,3567.084
2022-02-25,12849.503
2022-02-24,4015.475
2022-02-23,7483.277
2022-02-22,2311.137
2022-02-21,1551.669
2022-02-20,7715.283
2022-02-19,8204.011
2022-02-18,4977.611
2022-02-17,2211.997
2022-02-16,880.361
2022-02-15,6811.881
2022-02-14,2365.585
2022-02-13,6354.385
2022-02-12,3803.938
2022-02-11,2475.982
2022-02-10,1695.77
2022-02-09,4487.718
2022-02-08,2824.066
2022-02-07,2862.013
2022-02-06,8403.971
2022-02-05,5318.884
2022-02-04,3628.011
2022-02-03,2516.822
2022-02-02,1977.764
2022-02-01,3535.634
2022-01-31,4858.76
2022-01-30,3566.194
2022-01-29,4636.884
2022-01-28,4235.934
2022-01-27,1846.624
2022-01-26,5996.802
2022-01-25,1918.808
2022-01-24,5063.168
2022-01-23,4135.598
2022-01-22,100.256
2022-01-21,3473.63
2022-01-20,363.542
2022-01-19,1193.99
2022-01-18,3992.886
2022-01-17,1843.585
2022-01-16,2676.273
2022-01-15,8249.651
2022-01-14,3594.098
2022-01-13,5613.57
2022-01-12,2333.364
2022-01-11,10374.739
2022-01-10,2725.215
2022-01-09,2327.998
2022-01-08,4540.815
2022-01-07,2795.859
2022-01-06,3238.283
2022-01-05,3591.594
2022-01-04,2633.64
2022-01-03,2352.269
2022-01-02,3589.573
2022-01-01,2328.755
2021-12-31,4479.178
2021-12-30,2985.996
2021-12-29,5179.133
2021-12-28,2779.544
2021-12-27,3962.527
2021-12-26,2487.398
2021-12-25,5449.92
2021-12-24,10654.41
2021-12-23,6032.715
2021-12-22,3805.737
2021-12-21,2495.925
2021-12-20,2705.141
2021-12-19,2022.063
2021-12-18,2799.037
2021-12-17,6861.55
2021-12-16,4476.574
2021-12-15,2925.034
2021-12-14,2716.502
2021-12-13,2786.679
2021-12-12,2777.01
2021-12-11,3499.036
2021-12-10,3005.808
2021-12-09,4646.809
2021-12-08,655.336
2021-12-07,2445.604
2021-12-06,2042.324
2021-12-05,5799.092
2021-12-04,4476.273
2021-12-03,2507.38
2021-12-02,2470.513
2021-12-01,2432.626
2021-11-30,1848.277
2021-11-29,5097.629
2021-11-28,5478.874
2021-11-27,3001.841
2021-11-26,3404.225
2021-11-25,3887.116
2021-11-24,2591.917
2021-11-23,2798.332
2021-11-22,2832.011
2021-11-21,6899.942
2021-11-20,4042.417
2021-11-19,5269.172
2021-11-18,3431.573
2021-11-17,3581.97
2021-11-16,3587.617
2021-11-15,2459.427
2021-11-14,2963.289
2021-11-13,6653.898
2021-11-12,5468.778
2021-11-11,1164.091
2021-11-10,3077.457
2021-11-09,2497.724
2021-11-08,2232.006
2021-11-07,1938.438
2021-11-06,3336.872
2021-11-05,7458.094
2021-11-04,2848.533
2021-11-03,2482.825
2021-11-02,2715.108
2021-11-01,2710.57
2021-10-31,3312.714
2021-10-30,4283.285
2021-10-29,1890.818
2021-10-28,3472.893
2021-10-27,2578.766
2021-10-26,4610.069
2021-10-25,3497.823
2021-10-24,5551.915
2021-10-23,5338.213
2021-10-22,7285.799
2021-10-21,7499.027
2021-10-20,10079.832
2021-10-19,2279.028
2021-10-18,2342.504
2021-10-17,7180.052
2021-10-16,5560.263
2021-10-15,3458.826
2021-10-14,8102.153
2021-10-13,3192.62
2021-10-12,2798.553
2021-10-11,2870.744
2021-10-10,11512.297
2021-10-09,4439.515
2021-10-08,2457.226
2021-10-07,7382.861
2021-10-06,2981.383
2021-10-05,2822.791
2021-10-04,2028.9
2021-10-03,8765.533
