date,value
2022-04-17,1221
2022-04-16,3694
2022-04-15,3082
2022-04-14,6596
2022-04-13,3212
2022-04-12,3429
2022-04-11,5614
2022-04-10,4370
2022-04-09,4795
2022-04-08,3740
2022-04-07,3862
2022-04-06,7042
2022-04-05,3269
2022-04-04,6280
2022-04-03,2928
2022-04-02,9341
2022-04-01,4951
2022-03-31,2889
2022-03-30,9536
2022-03-29,3258
2022-03-28,2690
2022-03-27,3307
2022-03-26,4453
2022-03-25,9878
2022-03-24,6971
2022-03-23,2160
2022-03-22,2182
2022-03-21,2741
2022-03-20,7212
2022-03-19,7248
2022-03-18,7318
2022-03-17,1758
2022-03-16,2240
2022-03-15,2778
2022-03-14,7271
2022-03-13,10330
2022-03-12,8898
2022-03-11,8676
2022-03-10,7762
2022-03-09,3969
2022-03-08,2732
2022-03-07,2342
2022-03-06,2674
2022-03-05,2949
2022-03-04,6390
2022-03-03,4595
2022-03-02,4297
2022-03-01,2432
2022-02-28,6837
2022-02-27,2715
2022-02-26,4391
2022-02-25,16603
2022-02-24,4931
2022-02-23,9344
2022-02-22,2855
2022-02-21,1814
2022-02-20,9542
2022-02-19,10274
2022-02-18,5934
2022-02-17,2764
2022-02-16,1030
2022-02-15,8682
2022-02-14,2783
2022-02-13,7999
2022-02-12,4699
2022-02-11,3010
2022-02-10,2093
2022-02-09,5496
2022-02-08,3453
2022-02-07,3546
2022-02-06,10655
2022-02-05,6516
2022-02-04,4396
2022-02-03,3047
2022-02-02,2495
2022-02-01,4415
2022-01-31,6114
2022-01-30,4461
2022-01-29,5899
2022-01-28,5461
2022-01-27,2323
2022-01-26,7659
2022-01-25,2349
2022-01-24,6446
2022-01-23,5307
2022-01-22,121
2022-01-21,4360
2022-01-20,443
2022-01-19,1565
2022-01-18,4953
2022-01-17,2298
2022-01-16,3202
2022-01-15,10225
2022-01-14,4317
2022-01-13,6959
2022-01-12,2811
2022-01-11,12700
2022-01-10,3333
2022-01-09,2863
2022-01-08,5452
2022-01-07,3307
2022-01-06,3821
2022-01-05,4447
2022-01-04,3194
2022-01-03,2835
2022-01-02,4377
2022-01-01,2864
2021-12-31,5358
2021-12-30,3665
2021-12-29,6502
2021-12-28,3432
2021-12-27,4920
2021-12-26,3030
2021-12-25,6683
2021-12-24,13608
2021-12-23,7493
2021-12-22,4612
2021-12-21,3005
2021-12-20,3303
2021-12-19,2517
2021-12-18,3403
2021-12-17,8751
2021-12-16,5444
2021-12-15,3630
2021-12-14,3293
2021-12-13,3366
2021-12-12,3485
2021-12-11,4293
2021-12-10,3674
2021-12-09,5792
2021-12-08,685
2021-12-07,2905
2021-12-06,2450
2021-12-05,7020
2021-12-04,5470
2021-12-03,3056
2021-12-02,3012
2021-12-01,2949
2021-11-30,2247
2021-11-29,6460
2021-11-28,6909
2021-11-27,3827
2021-11-26,4164
2021-11-25,4910
2021-11-24,3149
2021-11-23,3450
2021-11-22,3205
2021-11-21,8703
2021-11-20,4994
2021-11-19,6539
2021-11-18,4323
2021-11-17,4448
2021-11-16,4450
2021-11-15,3021
2021-11-14,3642
2021-11-13,8375
2021-11-12,6778
2021-11-11,1490
2021-11-10,3787
2021-11-09,3000
2021-11-08,2722
2021-11-07,2390
2021-11-06,4029
2021-11-05,9320
2021-11-04,3442
2021-11-03,2957
2021-11-02,3264
2021-11-01,3356
2021-10-31,4155
2021-10-30,5263
2021-10-29,2269
2021-10-28,4323
2021-10-27,3160
2021-10-26,5634
2021-10-25,4275
2021-10-24,6999
2021-10-23,6781
2021-10-22,9470
2021-10-21,9680
2021-10-20,12381
2021-10-19,2812
2021-10-18,2853
2021-10-17,8896
2021-10-16,6878
2021-10-15,4338
2021-10-14,10449
2021-10-13,3968
2021-10-12,3453
2021-10-11,3518
2021-10-10,14893
2021-10-09,5374
2021-10-08,2916
2021-10-07,9386
2021-10-06,3609
2021-10-05,3526
2021-10-04,2351
2021-10-03,11316
2021-10-02,6178
2021-10-01,2679
2021-09-30,1544
2021-09-29,8915
2021-09-28,5581
2021-09-27,2554
2021-09-26,4761
2021-09-25,7610
2021-09-24,4427
2021-09-23,2443
2021-09-22,1947
2021-09-21,4947
2021-09-20,3337
2021-09-19,5814
2021-09-18,3786
2021-09-17,2574
2021-09-16,2680
2021-09-15,3031
2021-09-14,7271
2021-09-13,3294
2021-09-12,3477
2021-09-11,6221
2021-09-10,2861
2021-09-09,1903
2021-09-08,2933
2021-09-07,3862
2021-09-06,6027
2021-09-05,4702
2021-09-04,5436
2021-09-03,3656
2021-09-02,1955
2021-09-01,10980
2021-08-31,1729
2021-08-30,2459
2021-08-29,1875
2021-08-28,2643
2021-08-27,2215
2021-08-26,2323
2021-08-25,3074
2021-08-24,2511
2021-08-23,1731
2021-08-22,5030
2021-08-21,6940
2021-08-20,3300
2021-08-19,1917
2021-08-18,2921
2021-08-17,3157
2021-08-16,2981
2021-08-15,4542
2021-08-14,9472
2021-08-13,4005
2021-08-12,5970
2021-08-11,10103
2021-08-10,9713
2021-08-09,11011
2021-08-08,10009
2021-08-07,6458
2021-08-06,4783
2021-08-05,2317
2021-08-04,5929
2021-08-03,4932
2021-08-02,3208
2021-08-01,3317
2021-07-31,5642
2021-07-30,1899
2021-07-29,5424
2021-07-28,5507
2021-07-27,2241
2021-07-26,2636
2021-07-25,3891
2021-07-24,3034
2021-07-23,2935
2021-07-22,11078
2021-07-21,3645
2021-07-20,2685
2021-07-19,3872
2021-07-18,4620
2021-07-17,8805
2021-07-16,2780
2021-07-15,7041
2021-07-14,5266
2021-07-13,4187
2021-07-12,1104
2021-07-11,10570
2021-07-10,6565
2021-07-09,4819
2021-07-08,3103
2021-07-07,2021
2021-07-06,1959
2021-07-05,6417
2021-07-04,5442
2021-07-03,9910
2021-07-02,2948
2021-07-01,2710
2021-06-30,5718
2021-06-29,2369
2021-06-28,2017
2021-06-27,4118
2021-06-26,8910
2021-06-25,4219
2021-06-24,1678
2021-06-23,2325
2021-06-22,1272
2021-06-21,1042
2021-06-20,3292
2021-06-19,3918
2021-06-18,9014
2021-06-17,4451
2021-06-16,2020
2021-06-15,12655
2021-06-14,1534
2021-06-13,3821
2021-06-12,2090
2021-06-11,5264
2021-06-10,6108
2021-06-09,2851
2021-06-08,4763
2021-06-07,2420
2021-06-06,2222
2021-06-05,12005
2021-06-04,5297
2021-06-03,1485
2021-06-02,14577
2021-06-01,2478
2021-05-31,2597
2021-05-30,3030
2021-05-29,8337
2021-05-28,3921
2021-05-27,1527
2021-05-26,6615
2021-05-25,2576
2021-05-24,1892
2021-05-23,3002
2021-05-22,15056
2021-05-21,3338
2021-05-20,13344
2021-05-19,10831
2021-05-18,12835
2021-05-17,9101
2021-05-16,6357
2021-05-15,4781
2021-05-14,2792
2021-05-13,5458
2021-05-12,2821
2021-05-11,4667
2021-05-10,2962
2021-05-09,5325
2021-05-08,3189
2021-05-07,6272
2021-05-06,6480
2021-05-05,6607
2021-05-04,1449
2021-05-03,5345
2021-05-02,3078
2021-05-01,7310
2021-04-30,6596
2021-04-29,8578
2021-04-28,5427
2021-04-27,4471
2021-04-26,2364
2021-04-25,10949
2021-04-24,6301
2021-04-23,4687
2021-04-22,4893
2021-04-21,1723
2021-04-20,4454
2021-04-19,4846
2021-04-18,2130
2021-04-17,8883
2021-04-16,5607
2021-04-15,31
2021-04-14,1434
2021-04-13,2669
2021-04-12,1562
2021-04-11,7496
2021-04-10,5499
2021-04-09,7197
2021-04-08,4074
2021-04-07,1436
2021-04-06,4795
2021-04-05,11688
2021-04-04,7386
2021-04-03,3408
2021-04-02,16151
2021-04-01,2636
2021-03-31,3588
2021-03-30,12652
2021-03-29,3149
2021-03-28,2754
2021-03-27,5680
2021-03-26,5056
2021-03-25,1894
2021-03-24,3448
2021-03-23,3812
2021-03-22,2697
2021-03-21,8199
2021-03-20,5213
2021-03-19,10767
2021-03-18,2792
2021-03-17,1907
2021-03-16,2244
2021-03-15,3145
2021-03-14,8890
2021-03-13,9622
2021-03-12,5766
2021-03-11,7656
2021-03-10,3233
2021-03-09,2756
2021-03-08,1307
2021-03-07,2533
2021-03-06,7669
2021-03-05,4495
2021-03-04,3887
2021-03-03,3201
2021-03-02,1622
2021-03-01,3054
2021-02-28,3771
2021-02-27,1814
2021-02-26,1083
2021-02-25,1168
2021-02-24,10272
2021-02-23,9053
2021-02-22,1776
2021-02-21,3920
2021-02-20,9616
2021-02-19,8953
2021-02-18,4997
2021-02-17,7288
2021-02-16,2710
2021-02-15,3173
2021-02-14,3595
2021-02-13,7046
2021-02-12,2601
2021-02-11,3311
2021-02-10,5118
2021-02-09,1819
2021-02-08,2671
2021-02-07,4025
2021-02-06,11346
2021-02-05,6924
2021-02-04,6296
