from,to,"light (s)","deep (s)","rem (s)","awake (s)","wake up","Duration to sleep (s)","Duration to wake up (s)","Snoring (s)","Snoring episodes","Average heart rate","Heart rate (min)","Heart rate (max)","Night events"
2020-05-22T00:16:00-04:00,2020-05-22T08:19:00-04:00,17640,10260,0,1080,3,120,180,0,0,37,33,55,
2020-05-23T02:47:00-04:00,2020-05-23T08:30:00-04:00,11880,8280,0,420,0,120,300,0,0,46,36,95,
2020-05-24T01:06:00-04:00,2020-05-24T08:13:00-04:00,11880,12900,0,840,2,120,60,0,0,40,32,73,
2020-05-25T00:57:00-04:00,2020-05-25T10:02:00-04:00,16620,15000,0,1080,2,120,60,0,0,40,32,77,
2020-05-26T00:37:00-04:00,2020-05-26T08:23:00-04:00,14280,13560,0,120,0,120,0,0,0,40,31,77,
2020-05-27T01:10:00-04:00,2020-05-27T08:10:00-04:00,15120,8820,0,1260,3,120,240,0,0,38,33,47,
2020-05-27T23:49:00-04:00,2020-05-28T08:38:00-04:00,16020,13740,0,1980,1,120,1680,0,0,41,33,99,
2020-05-29T02:09:00-04:00,2020-05-29T08:49:00-04:00,11400,12360,0,240,0,120,120,0,0,40,33,72,
2020-05-30T00:18:00-04:00,2020-05-30T10:27:00-04:00,18000,17160,0,1380,3,120,0,0,0,39,32,64,
2020-05-31T00:37:00-04:00,2020-05-31T04:33:00-04:00,5640,6900,0,1620,3,120,60,0,0,48,40,74,
2020-05-31T22:53:00-04:00,2020-06-01T07:25:00-04:00,15240,14040,0,1440,4,120,0,0,0,39,32,66,
2020-06-01T23:07:00-04:00,2020-06-02T06:54:00-04:00,11339,15061,0,1620,1,120,840,0,0,40,34,77,
2020-06-02T23:00:00-04:00,2020-06-03T06:59:00-04:00,13680,13380,0,1680,2,120,720,0,0,43,33,95,
2020-06-03T22:32:00-04:00,2020-06-04T07:27:00-04:00,19560,12120,0,420,1,120,60,0,0,41,33,90,
2020-06-05T00:20:00-04:00,2020-06-05T07:47:00-04:00,17280,9420,0,120,0,120,0,0,0,41,33,67,
2020-06-06T02:11:00-04:00,2020-06-06T08:08:00-04:00,9120,11280,0,1020,1,120,0,0,0,57,42,95,
2020-06-07T02:37:00-04:00,2020-06-07T08:12:00-04:00,13080,6720,0,300,0,120,180,0,0,52,42,110,
2020-06-07T23:33:00-04:00,2020-06-08T07:47:00-04:00,7500,21180,0,960,1,120,0,0,0,45,32,73,
